id,lead_id,list_id,campaign_id,campaign,user,user_id,phone_number,number_dialed,first_name,last_name,status,status_name,call_length,call_date,agent_comment,queue_id,called_count,caller_id_displayed,term_reason,call_type,queue_position,queue_seconds,originating_agent_id
14683257,1364885,3343,1173,Convoso Test Campaign,Zhuohao Yang,1258074,7732162267,7732162267,Spam Call Test,Lead 8,ERI,Agent Lost Connection,46,2025-10-09 15:57:01,"|""System Call Re-disp by JS RD: 2025-10-10 11:56:41 NOCONT""",,10,17868077985,AGENT,OUTBOUND,1,0.00,
14683239,1364887,3343,1173,Convoso Test Campaign,Zhuohao Yang,1258074,7732162267,7732162267,Spam Call Test,Lead 9,NOCONT,Not Contacted,17,2025-10-09 15:56:40,,,14,17072427549,AGENT,OUTBOUND,1,0.00,
14683225,1048937,3343,1173,Convoso Test Campaign,Zhuohao Yang,1258074,7732162267,7732162267,Spam Call Test,Lead 1,NOCONT,Not Contacted,18,2025-10-09 15:56:18,,,15,12105129322,AGENT,OUTBOUND,1,0.00,
14683211,1048957,3343,1173,Convoso Test Campaign,Zhuohao Yang,1258074,7732162267,7732162267,Spam Call Test,Lead 2,NOCONT,Not Contacted,14,2025-10-09 15:55:55,,,15,12056915492,AGENT,OUTBOUND,1,0.00,
14683191,1652419,3343,1173,Convoso Test Campaign,Zhuohao Yang,1258074,7732162267,7732162267,Spam Call Test,Lead 12,NOCONT,Not Contacted,11,2025-10-09 15:55:33,,,15,15023472707,AGENT,OUTBOUND,1,0.00,
14683177,1364891,3343,1173,Convoso Test Campaign,Zhuohao Yang,1258074,7732162267,7732162267,Spam Call Test,Lead 10,NOCONT,Not Contacted,17,2025-10-09 15:55:04,,,16,15204535186,AGENT,OUTBOUND,1,0.00,
14683019,1048957,3343,1173,Convoso Test Campaign,Zhuohao Yang,1258074,7732162267,7732162267,Spam Call Test,Lead 2,NOCONT,Not Contacted,16,2025-10-09 15:50:08,"|""System Call Re-disp by JS RD: 2025-10-09 15:52:22 NOCONT""",,14,14244351971,AGENT,OUTBOUND,1,0.00,
14682785,1048957,3343,1173,Convoso Test Campaign,Zhuohao Yang,1258074,7732162267,7732162267,Spam Call Test,Lead 2,NOCONT,Not Contacted,16,2025-10-09 15:44:31,,,13,14053628634,AGENT,OUTBOUND,1,0.00,
14680223,1048957,3343,1173,Convoso Test Campaign,Zhuohao Yang,1258074,7732162267,7732162267,Spam Call Test,Lead 2,NOCONT,Not Contacted,11,2025-10-09 14:35:23,,,12,17733520316,AGENT,OUTBOUND,1,0.00,
14680015,1364875,3343,1173,Convoso Test Campaign,System User,666666,7732162267,7732162267,Spam Call Test,Lead 3,DROP,Agent Not Available In Campaign,3,2025-10-09 14:23:24,"|""System Call Re-disp by JS RD: 2025-10-09 15:52:22 NOCONT""",,4,17868077985,QUEUETIMEOUT,OUTBOUND,1,0.00,
